district_id,school_id,school_name,address,in_geocode
3570,250,BRAGAW AVENUE SCHOOL,"103 Bragaw Ave Newark, NJ 07104",FALSE
3570,718,VAILSBURG MIDDLE SCHOOL,"107 Ivy St, Newark, NJ 07106 USA",TRUE
3570,517,"Martin Luther King, Jr. E.S.","108 9th Street Newark, NJ 07107",FALSE
3570,210,ARLINGTON AVENUE,"13 Arlington Ave, Newark, NJ 07104",FALSE
3570,240,Boylan Early Childhood Center,"15 Boylan Street Newark, NJ 07106",FALSE
3570,580,NEWTON STREET SCHOOL,"150 Newton St, Newark, NJ 07103 USA",TRUE
3570,280,Broadway E.S.,"180 Oraton St, Newark, NJ 07104",FALSE
3570,465,HAROLD WILSON,"190 Muhammad Ali Ave, Newark, NJ 07108",FALSE
3570,3,Newark innovation Academy,"190 Muhammad Ali Ave Newark, NJ 07108",FALSE
3570,511,MAPLE AVE ANNEX,"200 Lyons Avenue Newark, NJ 07112",FALSE
3570,720,WARREN ST,"200 Warren Street Newark, NJ 07103",FALSE
3570,53,RENAISSANCE ACADEMY,"200 Washington St Newark, NJ 07102",FALSE
3570,42,GATEWAY ACADEMY SCHOOL,"200 WASHINGTON STREET NEWARK, NJ 07102",FALSE
3570,270,Branch Brook School,"228 Ridge St, Newark, NJ 07104 USA",TRUE
3570,380,EIGHTEENTH AVE,"229 18th Avenue Newark, NJ 07108",FALSE
3570,437,GLADYS HILLMAN-JONES SCH,"24 Crane St, Newark, NJ 07104 USA",TRUE
3570,335,CHANCELLOR AVENUE ANNEX,"255 Chancellor Ave, Newark, NJ 07112 USA",TRUE
3570,311,GIRLS ACADEMY OF NEWARK,"279 Chancellor Ave, Newark, NJ 07112 USA",TRUE
3570,300,Burnet Street E.S.,"28 Burnet Street Newark, NJ 07102",FALSE
3570,302,Newark Leadership Academy,"301 West Kinney St, Newark, NJ 07103 USA",TRUE
3570,305,NEWARK BRIDGES HIGH SCHOOL: A DIPLOMA PLUS SCHOOL,"321 Bergen St, Newark, NJ 07103 USA",TRUE
3570,510,MAPLE AVENUE SCHOOL,"33 Maple Ave Newark, NJ 07112",FALSE
3570,309,Newark Early College High School,"403 South Orange Ave, Newark, NJ 07103 USA",TRUE
3570,180,ALEXANDER ST,"43 Alexander St Newark, NJ 07106",FALSE
3570,600,Peshine Avenue E.S.,"433 Peshine Ave, Newark, NJ 07112 USA",TRUE
3570,353,Clinton Avenue E.S.,"534 Clinton Ave, Newark, NJ 07108 USA",TRUE
3570,400,Fifteenth Avenue E.S.,"557 15th Avenue Newark, NJ 07103",FALSE
3570,530,MILLER STREET SCHOOL AT SPENCER,"66 Muhammad Ali Ave, Newark, NJ 07108 USA",TRUE
3570,100,LUIS MUNOZ MARIN MIDDLE,"663 Broadway, Newark, NJ 07104 USA",TRUE
3570,230,WILLIAM H BROWN ACADEMY,"695 Bergen Street Newark, NJ 07108",FALSE
3570,635,SAMUEL L BERLINER,"70 Montgomery St, Newark, NJ 07103 USA",TRUE
3570,630,ROSEVILLE AVENUE SCHOOL,"70 Roseville Avenue Newark, NJ 07103",FALSE
3570,540,ACADEMY OF VOC CAREERS,"74 Montgomery St, Newark, NJ 07103 USA",TRUE
3570,560,MORTON ST,"75 Morton Street Newark, NJ 07103",FALSE
3570,500,MADISON AVENUE ELEMENTARY SCHOOL,"823 S 16th St Newark, NJ 07108",FALSE
3570,312,Barringer Academy Of S.T.E.A.M.,"90 Parker St, Newark, NJ 07104 USA",TRUE