dimension,subgroup,environment,count,percent,subgroup_total
racial_ethnic,white,ec_program_10plus_hrs,2361,17.57,5768
racial_ethnic,white,services_other_loc_attended_ec_10plus_hrs,231,1.72,5768
racial_ethnic,white,ec_program_less_10_hrs,259,1.93,5768
racial_ethnic,white,services_other_loc_attended_ec_less_10_hrs,,,5768
racial_ethnic,white,separate_class,2160,16.07,5768
racial_ethnic,white,separate_school,,,5768
racial_ethnic,white,residential_facility,,,5768
racial_ethnic,hispanic,ec_program_10plus_hrs,2076,15.45,4561
racial_ethnic,hispanic,services_other_loc_attended_ec_10plus_hrs,160,1.19,4561
racial_ethnic,hispanic,ec_program_less_10_hrs,185,1.38,4561
racial_ethnic,hispanic,services_other_loc_attended_ec_less_10_hrs,,,4561
racial_ethnic,hispanic,separate_class,1598,11.89,4561
racial_ethnic,hispanic,separate_school,,,4561
racial_ethnic,hispanic,residential_facility,,,4561
racial_ethnic,black,ec_program_10plus_hrs,556,4.14,1467
racial_ethnic,black,services_other_loc_attended_ec_10plus_hrs,82,0.61,1467
racial_ethnic,black,ec_program_less_10_hrs,57,0.42,1467
racial_ethnic,black,services_other_loc_attended_ec_less_10_hrs,,,1467
racial_ethnic,black,separate_class,572,4.26,1467
racial_ethnic,black,separate_school,55,0.41,1467
racial_ethnic,black,residential_facility,0,0,1467
racial_ethnic,asian,ec_program_10plus_hrs,339,2.52,1154
racial_ethnic,asian,services_other_loc_attended_ec_10plus_hrs,118,0.88,1154
racial_ethnic,asian,ec_program_less_10_hrs,32,0.24,1154
racial_ethnic,asian,services_other_loc_attended_ec_less_10_hrs,,,1154
racial_ethnic,asian,separate_class,529,3.94,1154
racial_ethnic,asian,separate_school,,,1154
racial_ethnic,asian,residential_facility,,,1154
racial_ethnic,multiracial,ec_program_10plus_hrs,159,1.18,400
racial_ethnic,multiracial,services_other_loc_attended_ec_10plus_hrs,9,0.07,400
racial_ethnic,multiracial,ec_program_less_10_hrs,18,0.13,400
racial_ethnic,multiracial,services_other_loc_attended_ec_less_10_hrs,,,400
racial_ethnic,multiracial,separate_class,173,1.29,400
racial_ethnic,multiracial,separate_school,14,0.1,400
racial_ethnic,multiracial,residential_facility,0,0,400
racial_ethnic,native_american,ec_program_10plus_hrs,12,0.09,27
racial_ethnic,native_american,services_other_loc_attended_ec_10plus_hrs,0,0,27
racial_ethnic,native_american,ec_program_less_10_hrs,,,27
racial_ethnic,native_american,services_other_loc_attended_ec_less_10_hrs,,,27
racial_ethnic,native_american,separate_class,,,27
racial_ethnic,native_american,separate_school,,,27
racial_ethnic,native_american,residential_facility,0,0,27
racial_ethnic,pacific_islander,ec_program_10plus_hrs,10,0.07,27
racial_ethnic,pacific_islander,services_other_loc_attended_ec_10plus_hrs,,,27
racial_ethnic,pacific_islander,ec_program_less_10_hrs,,,27
racial_ethnic,pacific_islander,services_other_loc_attended_ec_less_10_hrs,,,27
racial_ethnic,pacific_islander,separate_class,,,27
racial_ethnic,pacific_islander,separate_school,,,27
racial_ethnic,pacific_islander,residential_facility,0,0,27
racial_ethnic,total,ec_program_10plus_hrs,5513,41.02,13404
racial_ethnic,total,services_other_loc_attended_ec_10plus_hrs,603,4.49,13404
racial_ethnic,total,ec_program_less_10_hrs,554,4.12,13404
racial_ethnic,total,services_other_loc_attended_ec_less_10_hrs,,,13404
racial_ethnic,total,separate_class,5051,37.58,13404
racial_ethnic,total,separate_school,444,,13404
racial_ethnic,total,residential_facility,,,13404
gender,female,ec_program_10plus_hrs,1673,12.45,3788
gender,female,services_other_loc_attended_ec_10plus_hrs,140,1.04,3788
gender,female,ec_program_less_10_hrs,174,1.29,3788
gender,female,services_other_loc_attended_ec_less_10_hrs,352,2.62,3788
gender,female,separate_class,1295,9.63,3788
gender,female,separate_school,,,3788
gender,female,residential_facility,,,3788
gender,male,ec_program_10plus_hrs,3840,28.57,9616
gender,male,services_other_loc_attended_ec_10plus_hrs,463,3.44,9616
gender,male,ec_program_less_10_hrs,380,2.83,9616
gender,male,services_other_loc_attended_ec_less_10_hrs,883,6.57,9616
gender,male,separate_class,3756,27.94,9616
gender,male,separate_school,,,9616
gender,male,residential_facility,,,9616
gender,total,ec_program_10plus_hrs,5513,41.02,13404
gender,total,services_other_loc_attended_ec_10plus_hrs,603,4.49,13404
gender,total,ec_program_less_10_hrs,554,4.12,13404
gender,total,services_other_loc_attended_ec_less_10_hrs,1235,9.19,13404
gender,total,separate_class,5051,37.58,13404
gender,total,separate_school,,,13404
gender,total,residential_facility,,,13404
disability,autism,ec_program_10plus_hrs,14,,44
disability,autism,services_other_loc_attended_ec_10plus_hrs,,,44
disability,autism,ec_program_less_10_hrs,,,44
disability,autism,services_other_loc_attended_ec_less_10_hrs,,,44
disability,autism,separate_class,,,44
disability,autism,separate_school,,,44
disability,autism,residential_facility,0,0,44
disability,deaf_blindness,ec_program_10plus_hrs,0,,0
disability,deaf_blindness,services_other_loc_attended_ec_10plus_hrs,0,0,0
disability,deaf_blindness,ec_program_less_10_hrs,0,0,0
disability,deaf_blindness,services_other_loc_attended_ec_less_10_hrs,0,0,0
disability,deaf_blindness,separate_class,0,0,0
disability,deaf_blindness,separate_school,0,0,0
disability,deaf_blindness,residential_facility,0,0,0
disability,developmental_delay,ec_program_10plus_hrs,5457,,13284
disability,developmental_delay,services_other_loc_attended_ec_10plus_hrs,596,,13284
disability,developmental_delay,ec_program_less_10_hrs,546,,13284
disability,developmental_delay,services_other_loc_attended_ec_less_10_hrs,1228,,13284
disability,developmental_delay,separate_class,5020,37.35,13284
disability,developmental_delay,separate_school,,,13284
disability,developmental_delay,residential_facility,,,13284
disability,emotional_disturbance,ec_program_10plus_hrs,0,,0
disability,emotional_disturbance,services_other_loc_attended_ec_10plus_hrs,0,0,0
disability,emotional_disturbance,ec_program_less_10_hrs,0,0,0
disability,emotional_disturbance,services_other_loc_attended_ec_less_10_hrs,0,0,0
disability,emotional_disturbance,separate_class,0,0,0
disability,emotional_disturbance,separate_school,0,0,0
disability,emotional_disturbance,residential_facility,0,0,0
disability,hearing_impairment,ec_program_10plus_hrs,0,,0
disability,hearing_impairment,services_other_loc_attended_ec_10plus_hrs,0,0,0
disability,hearing_impairment,ec_program_less_10_hrs,0,0,0
disability,hearing_impairment,services_other_loc_attended_ec_less_10_hrs,0,0,0
disability,hearing_impairment,separate_class,0,0,0
disability,hearing_impairment,separate_school,,,0
disability,hearing_impairment,residential_facility,0,0,0
disability,intellectual_disability,ec_program_10plus_hrs,0,,0
disability,intellectual_disability,services_other_loc_attended_ec_10plus_hrs,0,,0
disability,intellectual_disability,ec_program_less_10_hrs,0,,0
disability,intellectual_disability,services_other_loc_attended_ec_less_10_hrs,0,,0
disability,intellectual_disability,separate_class,0,0,0
disability,intellectual_disability,separate_school,,,0
disability,intellectual_disability,residential_facility,0,0,0
disability,multiple_disabilities,ec_program_10plus_hrs,,,12
disability,multiple_disabilities,services_other_loc_attended_ec_10plus_hrs,,0,12
disability,multiple_disabilities,ec_program_less_10_hrs,,0,12
disability,multiple_disabilities,services_other_loc_attended_ec_less_10_hrs,0,0,12
disability,multiple_disabilities,separate_class,,,12
disability,multiple_disabilities,separate_school,,,12
disability,multiple_disabilities,residential_facility,0,0,12
disability,orthopedic_impairment,ec_program_10plus_hrs,0,,0
disability,orthopedic_impairment,services_other_loc_attended_ec_10plus_hrs,0,0,0
disability,orthopedic_impairment,ec_program_less_10_hrs,0,0,0
disability,orthopedic_impairment,services_other_loc_attended_ec_less_10_hrs,0,0,0
disability,orthopedic_impairment,separate_class,0,0,0
disability,orthopedic_impairment,separate_school,0,0,0
disability,orthopedic_impairment,residential_facility,0,0,0
disability,other_health_impairment,ec_program_10plus_hrs,10,,14
disability,other_health_impairment,services_other_loc_attended_ec_10plus_hrs,,,14
disability,other_health_impairment,ec_program_less_10_hrs,,,14
disability,other_health_impairment,services_other_loc_attended_ec_less_10_hrs,0,,14
disability,other_health_impairment,separate_class,,,14
disability,other_health_impairment,separate_school,0,0,14
disability,other_health_impairment,residential_facility,0,0,14
disability,specific_learning_disability,ec_program_10plus_hrs,,,
disability,specific_learning_disability,services_other_loc_attended_ec_10plus_hrs,,,
disability,specific_learning_disability,ec_program_less_10_hrs,,,
disability,specific_learning_disability,services_other_loc_attended_ec_less_10_hrs,0,,
disability,specific_learning_disability,separate_class,,,
disability,specific_learning_disability,separate_school,0,0,
disability,specific_learning_disability,residential_facility,0,0,
disability,speech_language_impairment,ec_program_10plus_hrs,25,,28
disability,speech_language_impairment,services_other_loc_attended_ec_10plus_hrs,0,0,28
disability,speech_language_impairment,ec_program_less_10_hrs,,,28
disability,speech_language_impairment,services_other_loc_attended_ec_less_10_hrs,,,28
disability,speech_language_impairment,separate_class,,,28
disability,speech_language_impairment,separate_school,0,0,28
disability,speech_language_impairment,residential_facility,0,0,28
disability,traumatic_brain_injury,ec_program_10plus_hrs,0,,0
disability,traumatic_brain_injury,services_other_loc_attended_ec_10plus_hrs,0,0,0
disability,traumatic_brain_injury,ec_program_less_10_hrs,0,0,0
disability,traumatic_brain_injury,services_other_loc_attended_ec_less_10_hrs,0,0,0
disability,traumatic_brain_injury,separate_class,0,0,0
disability,traumatic_brain_injury,separate_school,0,0,0
disability,traumatic_brain_injury,residential_facility,0,0,0
disability,visual_impairment,ec_program_10plus_hrs,0,,0
disability,visual_impairment,services_other_loc_attended_ec_10plus_hrs,0,0,0
disability,visual_impairment,ec_program_less_10_hrs,0,0,0
disability,visual_impairment,services_other_loc_attended_ec_less_10_hrs,0,0,0
disability,visual_impairment,separate_class,0,0,0
disability,visual_impairment,separate_school,0,0,0
disability,visual_impairment,residential_facility,0,0,0
disability,total,ec_program_10plus_hrs,5513,,13404
disability,total,services_other_loc_attended_ec_10plus_hrs,603,,13404
disability,total,ec_program_less_10_hrs,554,,13404
disability,total,services_other_loc_attended_ec_less_10_hrs,1235,,13404
disability,total,separate_class,5051,37.58,13404
disability,total,separate_school,,,13404
disability,total,residential_facility,,,13404
multilingual_learner,lep,ec_program_10plus_hrs,188,1.4,300
multilingual_learner,lep,services_other_loc_attended_ec_10plus_hrs,13,0.1,300
multilingual_learner,lep,ec_program_less_10_hrs,24,0.18,300
multilingual_learner,lep,services_other_loc_attended_ec_less_10_hrs,16,0.12,300
multilingual_learner,lep,separate_class,,,300
multilingual_learner,lep,separate_school,,,300
multilingual_learner,lep,residential_facility,0,0,300
multilingual_learner,non_lep,ec_program_10plus_hrs,5325,39.62,13104
multilingual_learner,non_lep,services_other_loc_attended_ec_10plus_hrs,590,4.39,13104
multilingual_learner,non_lep,ec_program_less_10_hrs,530,3.94,13104
multilingual_learner,non_lep,services_other_loc_attended_ec_less_10_hrs,1219,9.07,13104
multilingual_learner,non_lep,separate_class,4993,37.15,13104
multilingual_learner,non_lep,separate_school,,,13104
multilingual_learner,non_lep,residential_facility,,,13104
multilingual_learner,total,ec_program_10plus_hrs,5513,41.02,13404
multilingual_learner,total,services_other_loc_attended_ec_10plus_hrs,603,4.49,13404
multilingual_learner,total,ec_program_less_10_hrs,554,4.12,13404
multilingual_learner,total,services_other_loc_attended_ec_less_10_hrs,1235,9.19,13404
multilingual_learner,total,separate_class,5051,37.58,13404
multilingual_learner,total,separate_school,,,13404
multilingual_learner,total,residential_facility,,,13404
